County;Subcounty;Ward
;;Wanjohi
;;Kipipiri
;;Geta
;;Githioro
;;Karau
;;Kanjuiri Ridge
;;Mirangine
;;Kiambaga
;;Rurii
;;Gathanji
;;Gatimu
;;Weru
;;Charagita
;;Leshau/Pondo
;;Kiriita
;;Central
;;Shamata
;;Dedan Kimathi
;;Wamagana
;;Wodanga
;;Aguthi-Gaaki
;;Mweiga
;;Naromoru/Kiamathanga
;;Mwiyogo/Endarasha
;;Mugunda
;;Gatarakwa
;;Thiegu River
;;Kabaru
;;Gakawa
;;Ruguru
;;Magutu
;;Iria-Ini
;;Konyu
;;Kirimukuyu
;;Karatina Town
;;South East Alego
;;Busali
;;Mahiga
;;Iria-Ini
;;Chinga
;;Karima
;;Gikondi
;;Rugi
;;Mukurwe-Ini East
;;Mukurwe-Ini Central
;;Kiganjo/Mathari
;;Rware
;;Gatitu/Muruguru
;;Ruring'u
;;Kamakwa/Mukaro
;;Lodokejek
;;Suguta Marmar
;;Maralal
;;Loosuk
;;Porro
;;El Barta
;;Nachola
;;Ndoto
;;Nyiro
;;Angata Nanyukie
;;Baawa
;;Waso
;;Wamba West
;;Wamba East
;;Wamba North
;;West Ugenya
;;Ukwala
;;North Ugenya
;;East Ugenya
;;Sidindi
;;Sigomere
;;Ugunja
;;Usonga
;;West Alego
;;Central Alego
;;Siaya Township
;;North Alego
;;North Gem
;;West Gem
;;Central Gem
;;Yala Township
;;East Gem
;;South Gem
;;West Yimbo
;;Central Sakwa
;;South Sakwa
;;Yimbo East
;;West Sakwa
;;North Sakwa
;;East Asembo
;;West Asembo
;;North Uyoma
;;South Uyoma
;;West Uyoma
;;Chala
;;Mahoo
;;Bomani
;;Mboghoni
;;Ngolia
;;Mata
;;Wundanyi/Mbale
;;Werugha
;;Wumigu/Kishushe
;;Mwanda/Mgange
;;Ronge
;;Mwatate
;;Bura
;;Chawia
;;Wusi/Kishamba
;;Mbololo
;;Sagala
;;Kaloleni
;;Maungu
;;Kasigau
;;Sikhendu
;;Kipini East
;;Garsen South
;;Kipini West
;;Garsen Central
;;Garsen West
;;Garsen North
;;Kinakomba
;;Mikinduni
;;Chewani
;;Wayu
;;Chewele
;;Hirimani
;;Bangale
;;Sala
;;Madogo
;;Mitheru
;;Muthambi
;;Mwimbi
;;Ganga
;;Chogoria
;;Mariani
;;Karingani
;;Magumoni
;;Mugwe
;;Igambang'ombe
;;Gatunga
;;Mukothima
;;Nkondi
;;Chiakariga
;;Marimanti
;;Kapomboi
;;Kwanza
;;Keiyo
;;Bidii
;;Chepchoina
;;Endebes
;;Matumbei
;;Kinyoro
;;Matisi
;;Tuwani
;;Saboti
;;Machewa
;;Kiminini
;;Waitaluk
;;Sirende
;;Hospital
;;Nabiswa
;;Sinyerere
;;Makutano
;;Kaplamai
;;Motosiet
;;Cherangany/Suwerwa
;;Chepsiro/Kiptoror
;;Sitatunga
;;Kaeris
;;Lakezone
;;Lapur
;;Kalobeyei
;;Kaaleng/Kaikor
;;Kibish
;;Nakalale
;;Kakuma
;;Lopur
;;Letea
;;Songot
;;Lokichogio
;;Nanaam
;;Kerio Delta
;;Kangatotha
;;Kalokol
;;Lodwar Township
;;Kanamkemer
;;Kotaruk/Lobei
;;Turkwel
;;Kamagut
;;Kiplombe
;;Loima
;;Lokiriama/Lorengippi
;;Kaputir
;;Katilu
;;Lobokat
;;Kalapata
;;Lokichar
;;Kapsaos
;;Huruma
;;Tembelio
;;Sergoit
;;Kapedo/Napeitom
;;Katilia
;;Lokori/Kochodin
;;Moi's Bridge
;;Kapkures
;;Ziwa
;;Segero/Barsombe
;;Kipsomba
;;Soy
;;Kuinet/Kapsuswa
;;Ngenyilel
;;Tapsagoi
;;Karuna/Meibeki
;;Moiben
;;Kimumu
;;Kapsoya
;;Kaptagat
;;Ainabkoi/Olare
;;Simat/Kapseret
;;Kipkenyo
;;Ngeria
;;Megun
;;Langas
;;Racecourse
;;Cheptiret/Kipchamo
;;Tulwet/Chiyat
;;Tarakwa
;;Lugaga/Wamuluma
